image_id,mean_iou,precision_05,recall_05,f1_05,precision_07,recall_07,f1_07,n_gt_cells,n_pred_cells
1b6044e4858a9b7cee9b0028d8e54fbc8fb72e6c4424ab5b9f3859bfc72b33c5,0.46209081439530036,0.5588235294117647,0.48717948717948717,0.5205479452054794,0.29411764705882354,0.2564102564102564,0.273972602739726,39,34
1bd0f2b3000b7c7723f25335fabfcdddcdf4595dd7de1b142d52bb7a186885f0,0.8453342373434992,0.8076923076923077,0.9130434782608695,0.8571428571428572,0.7692307692307693,0.8695652173913043,0.8163265306122449,23,26
1c2f9e121fc207efff79d46390df1a740566b683ff56a96d8cabe830a398dd2e,0.395535660753567,0.2727272727272727,0.25,0.2608695652173913,0.09090909090909091,0.08333333333333333,0.08695652173913043,12,11
1c681dfa5cf7e413305d2e90ee47553a46e29cce4f6ed034c8297e511714f867,0.2905793397934877,0.8461538461538461,0.3333333333333333,0.47826086956521735,0.6538461538461539,0.25757575757575757,0.3695652173913043,66,26
1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180,0.9157999652072142,0.9712230215827338,0.9926470588235294,0.9818181818181818,0.9568345323741008,0.9779411764705882,0.9672727272727273,136,139
1d02c4b5921e916b9ddfb2f741fd6cf8d0e571ad51eb20e021c826b5fb87350e,0.4839390034049606,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.6666666666666666,0.47058823529411764,0.5517241379310345,17,12
1d4a5e729bb96b08370789cad0791f6e52ce0ffe1fcc97a04046420b43c851dd,0.5985232031023359,0.8076923076923077,0.7777777777777778,0.7924528301886792,0.3076923076923077,0.2962962962962963,0.3018867924528302,27,26
1d5f4717e179a03675a5aac3fc1c862fb442ddc3e373923016fd6b1430da889b,0.35041737921596144,0.4,0.2857142857142857,0.3333333333333333,0.2,0.14285714285714285,0.16666666666666666,7,5
1db1cddf28e305c9478519cfac144eee2242183fe59061f1f15487e925e8f5b5,0.21948655226464694,0.0,0.0,0.0,0.0,0.0,0.0,9,8
1e488c42eb1a54a3e8412b1f12cde530f950f238d71078f2ede6a85a02168e1f,0.6266711826840172,0.5,0.8,0.6153846153846154,0.25,0.4,0.3076923076923077,10,16
1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e,0.4717018938796958,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,6
1e8408fbb1619e7a0bcdd0bcd21fae57e7cb1f297d4c79787a9d0f5695d77073,0.46812870628336106,0.46153846153846156,0.42857142857142855,0.4444444444444445,0.15384615384615385,0.14285714285714285,0.14814814814814817,14,13
1ec74a26e772966df764e063f1391109a60d803cff9d15680093641ed691bf72,0.5879872442330814,0.8076923076923077,0.8076923076923077,0.8076923076923077,0.38461538461538464,0.38461538461538464,0.38461538461538464,26,26
1ee4a111f0e0bb9b001121b94ff98ca736fad03797b25285fe33a47046b3e4b0,0.5102035889793284,1.0,0.7,0.8235294117647058,0.7142857142857143,0.5,0.588235294117647,10,7
1f0008060150b5b93084ae2e4dabd160ab80a95ce8071a321b80ec4e33b58aca,0.7291818954228455,0.7666666666666667,0.8518518518518519,0.8070175438596491,0.6,0.6666666666666666,0.631578947368421,27,30
1f6b7cead15344593b32d5f2345fc26713dc74d9b31306c824209d67da401fd8,0.8861483805465127,0.9859154929577465,0.958904109589041,0.9722222222222222,0.9647887323943662,0.9383561643835616,0.951388888888889,146,142
1f9e429c12f4477221b5b855a5f494fda2ef6d064ff75b061ffaf093e91758c5,0.36864299899015035,0.6530612244897959,0.4155844155844156,0.5079365079365079,0.20408163265306123,0.12987012987012986,0.15873015873015872,77,49
20468e8779c43e089dc0ff30f25e6cf3872d5aa6a0fdad6f8aca382da43e8582,0.13115076659250385,0.5,0.1,0.16666666666666669,0.25,0.05,0.08333333333333334,20,4
20b20ab049372d184c705acebe7af026d3580f5fd5a72ed796e3622e1685af2f,0.49062306041047304,0.7165991902834008,0.6124567474048442,0.6604477611940297,0.1902834008097166,0.16262975778546712,0.17537313432835822,289,247
20c37b1ad2f510ed7396969e855fe93d0d05611738f6e706e8ca1d1aed3ded45,0.7995599420432905,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.875,0.875,0.875,24,24
20e209f6ffa120a72712e1b4c1d3e24d1339227e2936abd4bbd49a636fada423,0.7275379795825313,0.8666666666666667,0.8387096774193549,0.8524590163934426,0.7666666666666667,0.7419354838709677,0.7540983606557377,31,30
212b858a66f0d23768b8e3e1357704fc2f4cf4bbe7eed8cd59b5d01031d553e6,0.7795768632035806,0.9782608695652174,0.9,0.9375,0.9239130434782609,0.85,0.8854166666666666,100,92
21408476af0506331e8b5d49b385833e5ef1fbb90815fbf9af9d19b4bb145f76,0.3915660499773681,0.6666666666666666,0.5,0.5714285714285715,0.3333333333333333,0.25,0.28571428571428575,8,6
220b37f4ca7cab486d2b71cd87a46ee7411a5aa142799d96ed98015ab5ba538a,0.14772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,1,2
2227fd9b01d67c2bcdb407d3205214e6dfeff9fd0725828e3b3651959942ff4a,0.15606038839672964,0.8461538461538461,0.18333333333333332,0.3013698630136986,0.6153846153846154,0.13333333333333333,0.2191780821917808,60,13
2246874c8b5ba218d01ad8153a201ad4660195f3e4c65da6b9d4ccaf82cb7edf,0.46678619242356867,0.8103448275862069,0.5662650602409639,0.6666666666666667,0.3793103448275862,0.26506024096385544,0.31205673758865243,83,58
2255d5aba044256bb92f6b7cbed0fca46d972c7b6b1a59dcbe7f682c5777d074,0.4385652967480245,0.7272727272727273,0.5333333333333333,0.6153846153846153,0.36363636363636365,0.26666666666666666,0.30769230769230765,15,11
2349e95ece2857c89db7e4a8be8c88af0b45f3c4262608120cb3bd6ef51fd241,0.3605649671901917,0.5,0.3333333333333333,0.4,0.3333333333333333,0.2222222222222222,0.26666666666666666,9,6
